Wavelength,Angle,Voltage
489,0,2.9
489,10,3.17
489,20,3.3
489,30,3.47
489,40,3.59
489,50,3.71
489,60,3.84
489,70,3.98
489,80,4.12
489,90,4.28
489,100,4.46
489,110,4.63
489,120,4.71
489,130,4.79
489,140,5.17
489,150,5.41
489,160,5.66
489,170,5.91
489,180,6.3
500,0,0
500,10,2.99
500,20,3.23
500,30,3.35
500,40,3.5
500,50,3.64
500,60,3.8
500,70,3.97
500,80,4.1
500,90,4.23
500,100,4.4
500,110,4.57
500,120,4.71
500,130,4.93
500,140,5.16
500,150,5.37
500,160,5.64
500,170,5.98
500,180,6.31
510,0,6.11
510,10,6.59
510,20,7
510,30,7.77
510,40,8.79
510,50,10.1
510,60,12.3
510,70,15.3
510,80,3.97
510,90,4.11
510,100,4.27
510,110,4.45
510,120,4.6
510,130,4.81
510,140,4.99
510,150,5.23
510,160,5.47
510,170,5.8
510,180,6.11